loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,rank
1.6465679168701173,0.33647462725639343,8e-05,0.15625,5,,,,,,16
1.7267827987670898,0.2244722545146942,0.00018,0.3125,10,,,,,,16
1.5809784889221192,0.29984983801841736,0.00019893433680751103,0.46875,15,,,,,,16
1.5024717330932618,0.47753995656967163,0.00019464397731576094,0.625,20,,,,,,16
1.5221875190734864,0.5213919281959534,0.00018720494081438078,0.78125,25,,,,,,16
1.523855209350586,0.37587299942970276,0.0001768647139778532,0.9375,30,,,,,,16
1.4549768447875977,0.43963807821273804,0.00016396730215588915,1.09375,35,,,,,,16
1.4719234466552735,0.4883105456829071,0.00014894178478110857,1.25,40,,,,,,16
1.4150612831115723,0.34205013513565063,0.00013228804047714463,1.40625,45,,,,,,16
1.3695042610168457,0.4489724934101105,0.00011456011677350051,1.5625,50,,,,,,16
1.4538164138793945,0.4480588436126709,9.63477976942341e-05,1.71875,55,,,,,,16
1.3306846618652344,0.3807612657546997,7.825698244184431e-05,1.875,60,,,,,,16
1.439865493774414,0.5940367579460144,6.0889527950984416e-05,2.03125,65,,,,,,16
1.3058147430419922,0.33262673020362854,4.48232259229554e-05,2.1875,70,,,,,,16
1.3716347694396973,0.3981072008609772,3.059258047793661e-05,2.34375,75,,,,,,16
1.3603675842285157,0.4005872905254364,1.8671025926443465e-05,2.5,80,,,,,,16
1.4134111404418945,0.5144031047821045,9.455176250685338e-06,2.65625,85,,,,,,16
1.4074541091918946,0.3453625440597534,3.2516302942574793e-06,2.8125,90,,,,,,16
1.3967387199401855,0.46453848481178284,2.667716336448356e-07,2.96875,95,,,,,,16
,,,3.0,96,357.9045,2.137,0.268,4558619584512000.0,1.4543450598915417,16
