loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,rank
1.647667121887207,0.23838156461715698,8e-05,0.15625,5,,,,,,8
1.739434814453125,0.19611035287380219,0.00018,0.3125,10,,,,,,8
1.6022361755371093,0.22552144527435303,0.00019893433680751103,0.46875,15,,,,,,8
1.5312246322631835,0.31492045521736145,0.00019464397731576094,0.625,20,,,,,,8
1.5621962547302246,0.534171462059021,0.00018720494081438078,0.78125,25,,,,,,8
1.5630288124084473,0.6263012290000916,0.0001768647139778532,0.9375,30,,,,,,8
1.4803112983703612,0.33040302991867065,0.00016396730215588915,1.09375,35,,,,,,8
1.5047975540161134,0.3258795142173767,0.00014894178478110857,1.25,40,,,,,,8
1.447272777557373,0.29535579681396484,0.00013228804047714463,1.40625,45,,,,,,8
1.4122922897338868,0.39552223682403564,0.00011456011677350051,1.5625,50,,,,,,8
1.495243453979492,0.4407351315021515,9.63477976942341e-05,1.71875,55,,,,,,8
1.3721571922302247,0.3525710701942444,7.825698244184431e-05,1.875,60,,,,,,8
1.4882984161376953,0.6023054718971252,6.0889527950984416e-05,2.03125,65,,,,,,8
1.3520730018615723,0.3000270128250122,4.48232259229554e-05,2.1875,70,,,,,,8
1.41769437789917,0.38366803526878357,3.059258047793661e-05,2.34375,75,,,,,,8
1.4015572547912598,0.3971870541572571,1.8671025926443465e-05,2.5,80,,,,,,8
1.454596710205078,0.47169360518455505,9.455176250685338e-06,2.65625,85,,,,,,8
1.4474849700927734,0.32297414541244507,3.2516302942574793e-06,2.8125,90,,,,,,8
1.4368415832519532,0.40534186363220215,2.667716336448356e-07,2.96875,95,,,,,,8
,,,3.0,96,354.8721,2.156,0.271,4555595446272000.0,1.4894040673971176,8
